,bitstring,ideal_prob,noisy_prob
0,000000000000,0.000474061584317,0.000604
0,000000000001,0.000324958206913,0.000354
0,000000000010,2.8615624294e-05,0.000164
0,000000000011,0.000780631999117,0.000552
0,000000000100,0.001314821172612,0.000836
0,000000000101,7.6277062806e-05,0.000208
0,000000000110,2.6584106296e-05,0.000192
0,000000000111,9.8031995355e-05,0.000182
0,000000001000,0.000176359350572,0.000268
0,000000001001,0.000238971937032,0.000206
0,000000001010,2.7895505221e-05,0.00016
0,000000001011,0.000218560352111,0.000218
0,000000001100,0.000759419325083,0.000754
0,000000001101,0.000148999981082,0.0002
0,000000001110,0.000165976759553,0.000276
0,000000001111,0.000147653049299,0.00019
0,000000010000,0.000370688706687,0.000508
0,000000010001,0.000240395815845,0.000232
0,000000010010,1.4852573971e-05,0.000144
0,000000010011,5.3135486958e-05,0.00022
0,000000010100,0.000273913197851,0.000286
0,000000010101,0.000136211587323,0.000244
0,000000010110,0.000110821467246,0.000168
0,000000010111,0.000197132267562,0.00018
0,000000011000,0.000189967239184,0.000216
0,000000011001,3.5012561491e-05,9.6e-05
0,000000011010,0.000131360051279,0.000154
0,000000011011,3.7547635834e-05,9.2e-05
0,000000011100,4.3079605038e-05,0.00035
0,000000011101,0.000144740429994,0.000202
0,000000011110,0.000486197408242,0.000348
0,000000011111,8.3573820452e-05,0.000108
0,000000100000,0.000236257136632,0.000448
0,000000100001,5.352046932e-06,0.00012
0,000000100010,0.000192303609715,0.000216
0,000000100011,0.000245189810138,0.000316
0,000000100100,0.000378133464864,0.000534
0,000000100101,5.882193181e-06,0.000198
0,000000100110,0.000150656286471,0.000224
0,000000100111,6.2312399352e-05,0.00013
0,000000101000,2.2872639264e-05,0.000274
0,000000101001,4.954080824e-05,0.00015
0,000000101010,4.0676260822e-05,0.000154
0,000000101011,0.000172215995638,0.00018
0,000000101100,0.000626191390424,0.000672
0,000000101101,0.000298059107616,0.000302
0,000000101110,4.9479793638e-05,0.00018
0,000000101111,0.000106592344575,0.000172
0,000000110000,0.000529703059117,0.000584
0,000000110001,0.000124115815617,0.000182
0,000000110010,9.400775981e-05,0.000168
0,000000110011,0.00039180167051,0.000318
0,000000110100,0.000490543336592,0.000372
0,000000110101,0.000190056003263,0.00026
0,000000110110,8.9546038418e-05,0.000252
0,000000110111,1.5064427293e-05,0.00014
0,000000111000,0.000142049390633,0.00028
0,000000111001,9.0431977867e-05,0.00014
0,000000111010,4.5484177794e-05,0.000104
0,000000111011,9.3704611406e-05,0.00014
0,000000111100,0.000317894093518,0.000512
0,000000111101,0.000254612231815,0.0003
0,000000111110,4.903184173e-06,0.000128
0,000000111111,0.000118817741865,0.000112
0,000001000000,7.6006124128e-05,0.000692
0,000001000001,0.000558281674277,0.000494
0,000001000010,0.000513174254081,0.000538
0,000001000011,0.000125925472582,0.000322
0,000001000100,0.000154018176985,0.000502
0,000001000101,0.000139162654288,0.000394
0,000001000110,0.000761775849382,0.000594
0,000001000111,0.000116574756041,0.00021
0,000001001000,0.000461957854362,0.000508
0,000001001001,0.000224399751952,0.000356
0,000001001010,0.000642361651639,0.0005
0,000001001011,6.02575528e-05,0.000146
0,000001001100,0.002162393089563,0.001548
0,000001001101,0.000120627359373,0.000236
0,000001001110,0.000822058522044,0.000628
0,000001001111,0.000618391359874,0.000438
0,000001010000,0.004345276565294,0.002466
0,000001010001,0.000684855425648,0.00054
0,000001010010,0.000806963301895,0.000596
0,000001010011,0.000182754396543,0.00035
0,000001010100,0.00044993959514,0.000476
0,000001010101,0.001314652119464,0.000734
0,000001010110,3.0022241082e-05,0.000256
0,000001010111,0.000108561429065,0.000178
0,000001011000,4.9198318744e-05,0.000304
0,000001011001,0.000323516974255,0.000324
0,000001011010,0.000132593489439,0.00018
0,000001011011,0.000120135982549,0.000196
0,000001011100,0.000639614290416,0.000964
0,000001011101,0.000463638794805,0.000438
0,000001011110,0.000499734131019,0.000404
